Name,Country,Type,Style,Grape,Short Description,Long Description,Per Bottle Price,Mix Six Price,Percentage of reviewers who would buy again,Number of Reviewers,Awards,Closure,Units,Volume
Surani Costarossa 2018 Primitivo di Manduria,Italy,Red,Big Red,,FULL,"Primitivo is the Zinfandel of Italy. This is crafted in sun-soaked Puglia, the country's heel. The grapes are plucked from some of the region's oldest vines. Old vines craft the tastiest grapes. Coupled with the juice-boosting heat, this brings gallons of black-fruit-and-spice-packed flavour to your glass.",11.99,8.99,95.0,458,[],Natural Cork,10.5,75.0
"Gigondas Domaine Des Capes 2017, Rhône",,Red,Big Red,,MEDIUM,"Domaine des Capes Gigonas strikes an expert balance between freshness and elegance. Charming herbal hints of thyme and rosemary notes emerge through a lush palate of gently-spiced black fruit. Enjoy a generous glass with hearty, home-cooked meals to delight you through chilly evenings.",18.99,15.99,95.0,458,[],,14.2,75.0
"Villa Maria Private Bin Sauvignon Blanc 2018/19, Marlborough",New Zealand,White,Fruity White,,DRY,"Wine advocate's Joe Czerwinski said: ""Villa Maria is undoubtedly one of New Zealand's great success stories"". Its excellence shines in notes of gooseberry, nectarine, pineapple and grapefruit. It's one of our best-rated Sauvignons going for good reason.",10.99,8.99,98.0,777,"['IWC 2018 - Commended Award', 'IWC 2017 - Bronze Award']",Screwcap,9.8,75.0
Making Tracks Shiraz 2018,Australia,Red,Big Red,Shiraz,MEDIUM,"There's no better way to start your Aussie expedition than with Shiraz, the jumbo grape that's taken on its own mammoth identity in Australia. 'Syrah' may have originated in the Rhone Valley, but this is unmistakably Australian. Big, bold and pounding with blackberry tangs- it's your splendid suitor for red meats and cheese. A rich, well balanced example of the Aussie classic. Lush black fruits coupled with touches of woodspice, liquorice and cassis follow through to a rich velvety finish. The perfect wine to take to a barbecue, best enjoyed with grilled burgers and sausages.",9.99,6.99,94.0,186,[],,10.5,75.0
Caixas Albariño 2017/18 Rías Baixas,Spain,White,Crisp White,,DRY,"Robert Parker's Wine Advocate branded Martin Codax ""ambassador"" of Rías Baixas, the Cornwall of Spain. And it knows a thing or two about crafting citrus-packed, sea-salt licked Albariño. Look no further for a first-class example of the refreshing wine style.",10.99,7.99,95.0,246,[],Screwcap,9.4,75.0
"Vavasour Papa Sauvignon Blanc 2018, Malborourgh",New Zealand,White,Fruity White,,NEW ZEALAND,"Awatere Valleys minerality-gifting stony soils nourish grapes that develop otherworldly elegance, perfume and texture over a seemingly endless ripening period. But this cool-climate havens brilliance was unknown until it was discovered by Vavasour. It's plucked every grape behind this from one carefully selected spot. Its a truly unique, expertly crafted expression of the land.",18.99,16.99,95.0,246,[],,,
"Quinta do Carmo 'Dom Martinho' 2017, Alentejo",Spain,Red,Smooth Red,,MEDIUM,"When Château Lafite backs an estate it's a big deal. The iconic Bordeaux estate sells its own wines for over £1000 per bottle - so they've clearly recognised something special in Quinta de Carmo. The estate hails from Alentejo, a highly regarded region that has been at the centre of Portugal's renaissance. An unoaked blend of local and international grapes, this is loaded with smoky dark fruits, vanilla and plush tannins.",12.99,9.99,95.0,246,[],,10.9,75.0
"S&R Douro Red, 2017",Portugal,Red,Big Red,,FULL,"Two of Portugal's most famous and awarded winemakers crafted this high up on the sun-soaked Douro slopes. It's deep-ruby red, emitting countless vanilla-licked notes of red and black fruits. It's everything that makes Portuguese blends great.",11.99,8.99,90.0,241,"['IWC 2019 - Silver Award', 'Decanter 2019 - Bronze Award']",,,75.0
Silver Ghost Sauvignon Blanc 2019 Central Valley,Chile,White,Fruity White,,DRY,The unbeatable value of Chilean Sauvignon makes it one of the world's most popular. This zippy apple-and-lime-boasting white is a prime example. It's your summer's afternoon refresher.,6.49,4.99,87.0,231,['IWC 2019 - Commended Award'],Screwcap,9.4,75.0
"Chablis 2018, Bouchard Ainé & Fils, France",France,White,Crisp White,,DRY,"It's no secret that Chablis has had a rough time. Multiple vintages have been hit by hail and frost. However, 2018 ushered in unbridled sunshine. Whilst us Brits were flooding to parks and lidos, Chablis' vines were pampered by endless sun. The result is a crop of unusually ripe-yet-mineral Chablis, the ""best in 20 years"" according to Louis Moreau, the president of the Chablis Commission. Redolent of peach, hazelnut and gun-flint, this is a delicious testimony to this fantastic vintage.",17.99,15.99,87.0,231,[],,9.4,75.0
Olivier Dubois Cuvee Prestige Pinot Noir 2017 VdF,France,Red,Fruity Red,Pinot Noir,MEDIUM,"Don't be fooled by this low cost. This is squeezed from only the ripest fruit. It's then fermented in oak to make it all the more soothing. This Pinot Noir echoes Loire's finest appellations with an approachable, fruit-driven style.",8.99,7.99,93.0,134,[],Screwcap,9.4,75.0
Definition Marlborough Sauvignon Blanc 2018,New Zealand,White,Fruity White,Sauvignon Blanc,DRY,The Definition range captures the quintessential qualities of the world's greatest wine styles. Marlborough Sauvignon Blanc is Britain's favourite white wine. So finding this wasn't easy. It needed to be chock-full with layers of gooseberry. It had to boast punchy hints of passion fruit. That whiff of fresh-cut grass was imperative. You'll find it all in your glass.,10.99,8.99,94.0,155,[],Screwcap,9.4,75.0
"Marcelo Pelleriti Malbec 2018 Valle De Uco, Mendoza",Argentina,Red,Big Red,Malbec,FULL,Marcelo Pelleriti is the first ever South American producer to score a perfect 100 Parker Point score. His clarets have scored higher than the priciest châteaux of Bordeaux. He's returned to Mendoza to craft this black-fruit-packed Malbec exclusively for Majestic customers. And this time he's proud enough to put his own name on it!,12.99,9.99,93.0,122,['IWC 2019 - Silver Award'],Natural Cork,10.9,75.0
"Parcel Series Chilean Cabernet 2017, Colchagua Valley",Chile,Red,Big Red,,CHILE,"Hot on the heels of the sell-out Parcel Series Red Blend, this is another cracking deal. Made by the estate behind Chile's original 'first growth' Cabernet, with over forty 90+ point scores just for Cabernet, it's bursting with character. In fact, it already has a 90-point score under the estate's name. Bright and lively, with compelling red fruit, sweet paprika, tobacco and cassis flavours - don't miss it!",12.99,8.99,93.0,122,[],,,
Rioja Reserva Viña Ardanza 2009 La Rioja Alta,Spain,Red,Smooth Red,,FULL,"Year in, year out Viña Ardanza scoops 90+ point scores from the biggest critics. La Rioja Alta, one of the region's top wineries, plucks every single grape by hand. This juice sees a luxurious 36 months in oak. These tricks bring an abundance of complexity to your glass. You're in for oodles of sweet cherry, blackcurrant and vanilla flavours.",26.99,23.99,98.0,122,"['IWC 2017 - Bronze Award', 'Decanter 2017 - Silver Award']",Natural Cork,10.1,75.0
Valpolicella Ripasso 2017 Villa Borghetti,Italy,Red,Big Red,,FULL,"Valpolicella Ripasso is Italy's best-value red wine. This our Majestic customers' favourite. Left-over skins from costly Amarone are added to this juice to pump up the richness. It's luxuriously textured and flavoursome, boasting opulent notes of fine cherry, blueberry and sweet spice.",13.99,10.99,94.0,148,[],Natural Cork,10.1,75.0
The King's Legacy Chardonnay 2017 Marlborough,New Zealand,White,Rich White,,DRY,"This Chardonnay is sourced from two vineyards, one a mature plot in the centre of the Wairau Valley, the other a plot of younger vines in Brancott Valley. The grapes were fermented in large French oak casks using predominantly wild yeasts and allowed 10 months' on lees. An easily enjoyable Chardonnay that combines fresh apple, nectarine and tangerine flavours with subtle creaminess, hints of toasted almonds and a gently spicy complexity. Try this with seared scallops served with black pudding.",15.99,10.99,80.0,25,[],Screwcap,10.1,75.0
"Greywacke Pinot Gris 2015, Marlborough",New Zealand,White,Fruity White,,DRY,"An autumnal marriage of soft sweet figs, poached pears and quince scented with a hint of mulling spices and almond crumble. An opulently ripe expression of the Pinot Gris grape with great texture and a luscious off-dry richness that finishes crisply with considerable power and length.",28.99,25.99,100.0,4,[],Screwcap,10.9,75.0
Last Batch Malbec,,Red,Smooth Red,,MEDIUM,"You're a Malbec fan. So, you've almost definitely tried it from Mendoza. San Juan is the neighbouring region. Almost entirely in the Andean foothills, it boasts a cool climate, drop in night-time temperature, cooling 'Zonda' winds, and high altitude (this family-owned winery is 563 metres above sea level). This is the perfect sum for first-class Malbec.The winery picks and sorts every grape, nourished by fifteen-year-old vines, by hand. Only the best are squeezed, and the juice is treated to fermentation in luxury oak barrels. As you can imagine, this is a catalogue of expensive practices.",9.99,5.99,100.0,7,[],,10.1,75.0
A.Gauvin Gevrey Chambertin 2016,France,Red,Fruity Red,,MEDIUM,This fabulous Gevrey abounds with red cherry flavours and floral and spice notes. The quality is superb for a village wine with an intensity of flavour and a purity of fruit normally reserved for 1er cru wines and above.,41.99,36.99,100.0,11,[],,9.8,75.0
Rioja Reserva 2014 Beronia,Spain,Red,Smooth Red,,MEDIUM,"In Northern Spain there is a long standing tradition of gastronomic societies, known in the region as Txoko , where locals meet friends to cook and share their passion for fine food and drink. In the 1970s one such group of friends formed a Txoko in the small town of Ollauri in Rioja Alta. Believing that no local wine could match the quality of their cooking, they decided to make their own...a wine worthy of partnering their culinary achievements! The result was multi award-winning Rioja winery; Bodegas Beronia. Deep ruby-maroon in colour, with plenty of density. The complex nose is dominated by cinnamon and clove notes, with hints of toasted bread. Plenty of warm fruit, sweet tannins, and a velvet texture. Drink with tapas of hard cheeses, Iberico ham, or embuchados.",17.99,15.99,97.0,181,[],Natural Cork,10.5,75.0
Abbotts & Delaunay Viognier 2018,France,White,Fruity White,Viognier,DRY,"This Languedoc white delights with stone-fruit flavours and a dusting of spice. It's no surprise that this made it into 'Top Wines of 2018', flying the flag as the only Viognier.",9.99,7.99,96.0,137,['IWC 2017 - Silver Award'],Screwcap,9.4,75.0
"Domaine Sainte Rose 'Le Pinacle Syrah' 2017, Côtes de Thongue",France,Red,Fruity Red,,FULL,"Made in the Côte-Rôtie style, this alluring red from the innovative Ruth and Charles Simpson is really special. A 'true' Rhône Côte-Rôtie rarely falls below £40, so this Syrah and Viognier blend is really special. Like its famous rival, you'll find intense plum and liquorice aromas alongside pronounced black fruit, coffee and bitter chocolate flavours.",14.99,11.99,88.0,17,[],Natural Cork,10.5,75.0
Pinot Noir Domaine de Valmoissine 2016 Louis Latour,France,Red,Fruity Red,Pinot Noir,MEDIUM,"The conditions of Var, Southern France, are ideal for the difficult Pinot Noir grape. It's at a similar altitude to the finest Grand Crus, but because it's under the radar, you can pick this smooth, textured red, boasting elegant notes of ripe cherry, strawberry and vanilla, up at a steal.",13.99,10.99,83.0,103,['IWC 2018 - Commended Award'],Natural Cork,9.8,75.0
